STOCK,CURR_PRICE,OPEN,HIGH,LOW,PREV_CLOSE
11DPD,0.36,0.36,0.36,0.36,0.33
POWERINDIA,1803.95,1798.5,1860,1790,1799.3
DJML,52.5,#N/A,#N/A,#N/A,52.5
NATURAL,15.61,#N/A,#N/A,#N/A,15.61
BHARTIA,0,#N/A,#N/A,#N/A,10.79
BILLWIN,23.6,23.6,23.6,23.6,23.6
AARTISURF,1463,1408,1502,1408,1456.1
BONLON,19.5,#N/A,#N/A,#N/A,19.5
BOROLTD,196.4,192,204,192,193.65
ROSSARI,1242.9,1220,1295.85,1220,1242.1
NDRAUTO,193,194,198.1,193,194.6
SBGLP,68,#N/A,#N/A,#N/A,68
ICICIALPLV,143,#N/A,#N/A,#N/A,143.38
MAXHEALTH,226.8,222,234.8,222,224.5
